CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,1,77183.6,1,1,4,114,At Risk
12347.0,1,7,4310.0,4,4,4,444,High Score
12348.0,74,4,1797.24,2,3,4,234,At Risk
12349.0,18,1,1757.55,3,1,4,314,At Risk
12350.0,309,1,334.4,1,1,2,112,At Risk
12352.0,35,8,2506.04,3,4,4,344,At Risk
12353.0,203,1,89.0,1,1,1,111,At Risk
12354.0,231,1,1079.4,1,1,3,113,At Risk
12355.0,213,1,459.4,1,1,2,112,At Risk
12356.0,22,3,2811.43,3,3,4,334,At Risk
12357.0,32,1,6207.67,3,1,4,314,At Risk
12358.0,1,2,1168.06,4,2,3,423,Loyal Customer
12359.0,57,4,6372.58,2,3,4,234,At Risk
12360.0,51,3,2662.06,2,3,4,234,At Risk
12361.0,286,1,189.9,1,1,1,111,At Risk
12362.0,2,10,5226.23,4,4,4,444,High Score
12363.0,109,2,552.0,2,2,2,222,At Risk
12364.0,7,4,1313.1,4,3,3,433,Loyal Customer
12365.0,290,2,641.38,1,2,2,122,At Risk
12367.0,3,1,168.9,4,1,1,411,Loyal Customer
12370.0,50,4,3545.69,3,3,4,334,At Risk
12371.0,44,2,1887.96,3,2,4,324,At Risk
12372.0,71,3,1298.04,2,3,3,233,At Risk
12373.0,310,1,364.6,1,1,2,112,At Risk
12374.0,24,1,742.9300000000001,3,1,3,313,At Risk
12375.0,10,2,457.5,4,2,2,422,Loyal Customer
12377.0,314,2,1628.12,1,2,3,123,At Risk
12378.0,129,1,4008.62,2,1,4,214,At Risk
12379.0,81,2,852.24,2,2,3,223,At Risk
12380.0,21,4,2724.81,3,3,4,334,At Risk
12381.0,4,5,1845.31,4,3,4,434,Loyal Customer
12383.0,184,5,1850.56,1,3,4,134,At Risk
12384.0,28,2,585.27,3,2,2,322,At Risk
12386.0,337,2,401.9,1,2,2,122,At Risk
12388.0,15,6,2780.66,4,4,4,444,High Score
12390.0,79,1,549.84,2,1,2,212,At Risk
12391.0,21,1,460.89,3,1,2,312,At Risk
